#n_killed,n_injured,latitude,longitude,gun_involved,district
1,2,44.9553,93.2489,2,0
1,1,30.0194,82.3278,3,19
0,4,37.7389,122.169,0,18
0,4,35.2406,80.8095,0,107
1,3,38.688,90.2456,1,76
1,4,41.5971,87.2256,0,3
1,4,41.2205,73.1929,0,126
0,4,40.7283,74.0048,1,66
1,0,35.9576,84.8407,0,25
1,3,38.9047,77.0122,0,0
0,4,35.6864,82.0201,1,85
0,5,38.8111,104.822,0,18
1,1,33.7709,84.05,1,93
0,6,46.5854,120.538,0,14
1,3,38.873,76.9977,2,0
1,3,37.9625,121.276,0,13
0,4,42.7349,84.573,0,68
0,4,36.2003,115.159,0,6
0,5,28.3107,81.4488,0,43
1,4,35.0411,90.0292,0,91
0,12,41.803,87.6699,1,2
1,2,33.8728,118.171,0,63
1,0,32.2337,96.4661,1,0
0,4,26.6552,80.062,0,87
1,3,38.662,90.2062,0,79
1,4,43.2489,86.2368,1,92
1,6,37.6861,97.3288,0,103
0,6,38.4136,82.4609,2,17
0,4,36.0934,79.3526,0,63
0,4,39.9272,82.0073,1,97
0,4,41.7854,87.6209,0,5
0,4,41.305,95.9758,0,0
1,1,41.0951,85.0984,1,85
1,12,36.7054,119.76,0,31
0,4,42.9114,78.8075,0,141
0,4,33.451,112.301,0,19
1,5,39.943,75.2268,0,0
1,0,39.8461,74.7348,1,9
1,0,33.6652,95.5505,0,1
0,5,36.1189,95.8429,1,75
1,0,41.235,75.9011,1,121
0,8,40.2692,76.8681,0,0
0,4,26.2503,80.2237,0,96
1,2,25.6087,80.5096,0,120
1,5,40.4555,79.897,0,0
1,5,41.3067,72.9118,0,95
0,4,25.9443,80.2519,0,102
1,0,33.5042,112.096,1,24
0,4,30.0716,94.1485,0,22
0,4,38.7354,121.226,1,6
1,4,35.163,79.4233,0,52
1,6,38.1517,122.25,0,14
1,0,33.9881,82.2888,0,12
1,3,37.8133,85.9224,0,0
0,5,33.8249,117.227,0,61
1,3,33.9454,118.399,0,62
0,4,38.8934,76.9508,0,0
1,0,30.3068,81.7298,0,14
1,7,42.4334,83.0523,0,5
1,16,29.884,95.7187,0,132
1,3,40.8007,81.3868,1,49
1,3,33.3933,112.174,0,19
1,1,40.7122,73.9359,1,53
1,3,29.6168,95.4428,0,131
1,2,29.8222,95.2761,0,142
0,4,39.9728,75.2399,0,0
0,1,39.9683,75.2238,1,190
0,1,39.9669,75.2229,1,190
1,1,36.1771,95.9403,0,72
0,7,37.7488,122.165,0,18
1,3,44.9481,93.2505,0,0
0,4,43.1595,77.61,1,137
0,4,39.8182,86.1082,0,96
0,4,36.7297,119.81,0,31
0,4,30.8405,83.2801,0,177
0,5,42.7326,84.5557,0,68
1,2,25.8336,80.2167,0,108
1,0,0,0,1,0
1,0,39.0379,95.6905,1,58
0,4,39.7361,75.6309,0,19
1,0,39.9665,76.7298,1,95
0,4,35.7603,80.8937,0,84
0,5,29.7908,95.1355,0,143
1,3,25.4631,80.4572,0,120
1,4,40.205,74.7517,0,15
0,4,35.2875,81.546,0,111
1,3,43.3115,86.2997,1,92
1,3,40.8463,72.9919,0,3
1,0,40.6132,74.4143,1,22
1,2,40.7217,74.2217,0,28
1,3,29.6456,90.5388,1,54
1,6,30.2743,89.7826,1,76
1,5,32.3719,86.2952,0,77
0,2,34.1204,117.992,0,48
1,0,40.8739,74.0845,0,38
1,1,41.0186,81.585,0,35
0,6,40.6712,73.9088,0,55
1,0,0,0,1,0
0,0,43.2301,86.2514,0,92
0,0,40.7417,74.1695,0,29
1,0,40.7034,73.7474,0,33
0,1,40.6715,73.9476,0,43
0,1,37.2646,93.3007,0,131
0,1,32.4848,84.9727,0,135
0,1,43.0308,76.1562,0,128
0,0,38.053,84.4928,0,0
0,1,32.7866,83.7199,0,142
0,1,38.7765,77.4996,0,50
0,1,39.9641,75.1916,0,0
0,0,37.0258,76.3534,0,92
1,0,32.8548,79.9977,0,109
0,0,39.3106,76.7022,0,41
1,0,39.7457,75.5668,0,3
1,0,39.0496,108.525,0,54
0,1,32.8461,79.9813,0,111
0,0,37.1536,93.2778,0,136
1,0,34.7663,86.6028,0,19
0,1,39.8952,75.1241,0,5
